anio,.actual,.prediction,.residuals
2018-01-01,3,3.7197976112365723,-0.7197976112365723
2018-01-01,68,44.667118072509766,23.332881927490234
2018-01-01,2270,2544.89892578125,-274.89892578125
2018-01-01,303,298.9198303222656,4.080169677734375
2018-01-01,123,51.503326416015625,71.496673583984375
2018-01-01,751,574.52203369140625,176.47796630859375
2018-01-01,19238,18599.837890625,638.162109375
2018-01-01,2625,2574.845947265625,50.154052734375
2018-01-01,9,8.926216125488281,0.07378387451171875
2018-01-01,87,79.96723937988281,7.0327606201171875
2018-01-01,2565,2978.552978515625,-413.552978515625
2018-01-01,354,511.4693298339844,-157.46932983398438
2018-01-01,37,20.574146270751953,16.425853729248047
2018-01-01,269,151.86297607421875,117.13702392578125
2018-01-01,6422,6100.63720703125,321.36279296875
2018-01-01,977,668.218017578125,308.781982421875
2018-01-01,10,4.303741455078125,5.696258544921875
2018-01-01,65,42.69664764404297,22.30335235595703
2018-01-01,1972,2079.9462890625,-107.9462890625
2018-01-01,290,271.7419738769531,18.258026123046875
2018-01-01,9,4.058882236480713,4.941117763519287
2018-01-01,29,24.14234733581543,4.85765266418457
2018-01-01,1110,1100.857177734375,9.142822265625
2018-01-01,161,145.6643524169922,15.335647583007813
2018-01-01,11,4.9782586097717285,6.0217413902282715
2018-01-01,107,63.898582458496094,43.101417541503906
2018-01-01,2837,3692.905517578125,-855.905517578125
2018-01-01,408,502.35687255859375,-94.35687255859375
2018-01-01,12,4.367057800292969,7.632942199707031
2018-01-01,80,54.84939193725586,25.15060806274414
2018-01-01,2184,2180.1396484375,3.8603515625
2018-01-01,331,406.80487060546875,-75.80487060546875
2018-01-01,42,28.469741821289063,13.530258178710938
2018-01-01,426,376.275634765625,49.724365234375
2018-01-01,10381,10280.373046875,100.626953125
2018-01-01,1754,1765.666015625,-11.666015625
2018-01-01,1077,609.6749267578125,467.3250732421875
2018-01-01,4330,3071.849365234375,1258.150634765625
2018-01-01,74244,71624.734375,2619.265625
2018-01-01,12459,14095.724609375,-1636.724609375
2018-01-01,26,24.119489669799805,1.8805103302001953
2018-01-01,168,123.18775939941406,44.81224060058594
2018-01-01,4437,4251.4736328125,185.5263671875
2018-01-01,682,768.11572265625,-86.11572265625
2018-01-01,14,12.020654678344727,1.9793453216552734
2018-01-01,86,67.07640838623047,18.92359161376953
2018-01-01,2262,2453.37353515625,-191.37353515625
2018-01-01,291,272.71160888671875,18.28839111328125
2018-01-01,12,9.677156448364258,2.322843551635742
2018-01-01,101,67.65681457519531,33.34318542480469
2018-01-01,3036,3181.29931640625,-145.29931640625
2018-01-01,387,475.2533874511719,-88.253387451171875
2018-01-01,11,5.084078311920166,5.915921688079834
2018-01-01,83,50.752445220947266,32.247554779052734
2018-01-01,3695,3783.755615234375,-88.755615234375
2018-01-01,512,581.1671142578125,-69.1671142578125
2018-01-01,25,13.54457950592041,11.45542049407959
2018-01-01,153,122.02960968017578,30.97039031982422
2018-01-01,3553,3433.631591796875,119.368408203125
2018-01-01,588,560.8995361328125,27.1004638671875
2018-01-01,23,20.694461822509766,2.3055381774902344
2018-01-01,152,125.32379913330078,26.67620086669922
2018-01-01,4524,4751.7158203125,-227.7158203125
2018-01-01,555,523.7508544921875,31.2491455078125
2018-01-01,18,11.471604347229004,6.528395652770996
2018-01-01,124,80.1678466796875,43.8321533203125
2018-01-01,3291,3049.38232421875,241.61767578125
2018-01-01,488,529.385498046875,-41.385498046875
2018-01-01,14,8.087554931640625,5.912445068359375
2018-01-01,91,64.47850036621094,26.521499633789063
2018-01-01,3310,3375.69677734375,-65.69677734375
2018-01-01,402,419.2661437988281,-17.266143798828125
2018-01-01,8,3.960517406463623,4.039482593536377
2018-01-01,50,34.25897216796875,15.74102783203125
2018-01-01,1914,2264.47509765625,-350.47509765625
2018-01-01,237,233.59117126464844,3.4088287353515625
